nomenclature,reporteriso3,productcode,reportername,partneriso3,partnername,year,tradeflowname,tradevaluein1000usd
H3,TZA,10110,Tanzania,KEN,Kenya,2012,Export,5.374
H3,TZA,10110,Tanzania,KEN,Kenya,2012,Import,3.846
H3,TZA,10110,Tanzania,WLD,World,2012,Export,5.374
H3,TZA,10110,Tanzania,WLD,World,2012,Import,10.337
H3,TZA,10110,Tanzania,ZAF,South Africa,2012,Import,6.491
H3,TZA,10190,Tanzania,ARE,United Arab Emirates,2012,Import,0.263
H3,TZA,10190,Tanzania,BEL,Belgium,2012,Import,0.015
H3,TZA,10190,Tanzania,NAM,Namibia,2012,Import,0.098
H3,TZA,10190,Tanzania,USA,United States,2012,Export,0.081
H3,TZA,10190,Tanzania,WLD,World,2012,Export,0.081
H3,TZA,10190,Tanzania,WLD,World,2012,Import,8.428
H3,TZA,10190,Tanzania,ZAF,South Africa,2012,Import,8.052
H3,TZA,10210,Tanzania,BDI,Burundi,2012,Export,1.474
H3,TZA,10210,Tanzania,KEN,Kenya,2012,Import,39.337
H3,TZA,10210,Tanzania,WLD,World,2012,Export,1.576
H3,TZA,10210,Tanzania,WLD,World,2012,Import,39.337
H3,TZA,10210,Tanzania,ZAF,South Africa,2012,Export,0.102
H3,TZA,10290,Tanzania,CZE,Czech Republic,2012,Import,44.741
H3,TZA,10290,Tanzania,DNK,Denmark,2012,Export,6.345
H3,TZA,10290,Tanzania,GBR,United Kingdom,2012,Export,0.102
H3,TZA,10290,Tanzania,GBR,United Kingdom,2012,Import,0.071
H3,TZA,10290,Tanzania,JPN,Japan,2012,Export,7.073
H3,TZA,10290,Tanzania,KEN,Kenya,2012,Export,11.443
H3,TZA,10290,Tanzania,MWI,Malawi,2012,Export,2.758
H3,TZA,10290,Tanzania,UGA,Uganda,2012,Import,1.879
H3,TZA,10290,Tanzania,USA,United States,2012,Export,0.051
H3,TZA,10290,Tanzania,WLD,World,2012,Export,64.641
H3,TZA,10290,Tanzania,WLD,World,2012,Import,47.807
H3,TZA,10290,Tanzania,ZAF,South Africa,2012,Export,0.082
H3,TZA,10290,Tanzania,ZAF,South Africa,2012,Import,0.252
H3,TZA,10290,Tanzania,ZAR,"Congo, Dem. Rep.",2012,Export,0.769
H3,TZA,10290,Tanzania,ZMB,Zambia,2012,Export,36.018
H3,TZA,10290,Tanzania,ZMB,Zambia,2012,Import,0.864
H3,TZA,10310,Tanzania,KEN,Kenya,2012,Import,5.893
H3,TZA,10310,Tanzania,WLD,World,2012,Export,90.684
H3,TZA,10310,Tanzania,WLD,World,2012,Import,5.893
H3,TZA,10310,Tanzania,ZMB,Zambia,2012,Export,90.684
H3,TZA,10391,Tanzania,BEL,Belgium,2012,Import,0.035
H3,TZA,10391,Tanzania,CHN,China,2012,Import,0.001
H3,TZA,10391,Tanzania,WLD,World,2012,Import,0.54
H3,TZA,10391,Tanzania,ZMB,Zambia,2012,Import,0.504
H3,TZA,10410,Tanzania,GBR,United Kingdom,2012,Import,0.36
H3,TZA,10410,Tanzania,WLD,World,2012,Import,0.36
H3,TZA,10420,Tanzania,COM,Comoros,2012,Export,110.748
H3,TZA,10420,Tanzania,WLD,World,2012,Export,110.748
H3,TZA,10511,Tanzania,ARE,United Arab Emirates,2012,Import,0.991
H3,TZA,10511,Tanzania,BHR,Bahrain,2012,Import,0.111
H3,TZA,10511,Tanzania,CHE,Switzerland,2012,Import,6.461
H3,TZA,10511,Tanzania,COL,Colombia,2012,Export,0.001
H3,TZA,10511,Tanzania,COM,Comoros,2012,Export,1.321
H3,TZA,10511,Tanzania,CUW,Curaçao,2012,Import,2.658
H3,TZA,10511,Tanzania,FRA,France,2012,Import,434.434
H3,TZA,10511,Tanzania,IND,India,2012,Import,1.282
H3,TZA,10511,Tanzania,KEN,Kenya,2012,Import,527.671
H3,TZA,10511,Tanzania,MUS,Mauritius,2012,Import,67.218
H3,TZA,10511,Tanzania,MWI,Malawi,2012,Import,82.751
H3,TZA,10511,Tanzania,NLD,Netherlands,2012,Import,183.918
H3,TZA,10511,Tanzania,WLD,World,2012,Export,1.367
H3,TZA,10511,Tanzania,WLD,World,2012,Import,1341.43
H3,TZA,10511,Tanzania,ZAR,"Congo, Dem. Rep.",2012,Export,0.045
H3,TZA,10511,Tanzania,ZWE,Zimbabwe,2012,Import,33.934
H3,TZA,10512,Tanzania,KEN,Kenya,2012,Import,0.128
H3,TZA,10512,Tanzania,WLD,World,2012,Import,0.128
H3,TZA,10599,Tanzania,WLD,World,2012,Import,0.096
H3,TZA,10599,Tanzania,ZAF,South Africa,2012,Import,0.096
H3,TZA,10611,Tanzania,GBR,United Kingdom,2012,Import,0.924
H3,TZA,10611,Tanzania,KEN,Kenya,2012,Import,2.013
H3,TZA,10611,Tanzania,WLD,World,2012,Import,3.701
H3,TZA,10611,Tanzania,ZAF,South Africa,2012,Import,0.764
H3,TZA,10619,Tanzania,BFA,Burkina Faso,2012,Export,0.179
H3,TZA,10619,Tanzania,BFA,Burkina Faso,2012,Import,0.113
H3,TZA,10619,Tanzania,CZE,Czech Republic,2012,Import,33.503
H3,TZA,10619,Tanzania,DEU,Germany,2012,Export,0.101
H3,TZA,10619,Tanzania,FRA,France,2012,Import,0.052
H3,TZA,10619,Tanzania,GBR,United Kingdom,2012,Export,0.254
H3,TZA,10619,Tanzania,GHA,Ghana,2012,Import,0.342
H3,TZA,10619,Tanzania,JPN,Japan,2012,Export,3.037
H3,TZA,10619,Tanzania,KEN,Kenya,2012,Import,67.803
H3,TZA,10619,Tanzania,MOZ,Mozambique,2012,Export,0.051
H3,TZA,10619,Tanzania,NAM,Namibia,2012,Import,0.006
H3,TZA,10619,Tanzania,RWA,Rwanda,2012,Export,0.03
H3,TZA,10619,Tanzania,THA,Thailand,2012,Export,0.051
H3,TZA,10619,Tanzania,UGA,Uganda,2012,Import,0.257
H3,TZA,10619,Tanzania,USA,United States,2012,Export,7.896
H3,TZA,10619,Tanzania,USA,United States,2012,Import,0.152
H3,TZA,10619,Tanzania,WLD,World,2012,Export,11.701
H3,TZA,10619,Tanzania,WLD,World,2012,Import,105.305
H3,TZA,10619,Tanzania,ZAF,South Africa,2012,Export,0.102
H3,TZA,10619,Tanzania,ZAF,South Africa,2012,Import,3.077
H3,TZA,10620,Tanzania,CAN,Canada,2012,Export,1.078
H3,TZA,10620,Tanzania,CZE,Czech Republic,2012,Export,3.899
H3,TZA,10620,Tanzania,ESP,Spain,2012,Export,1.078
H3,TZA,10620,Tanzania,GBR,United Kingdom,2012,Export,0.405
H3,TZA,10620,Tanzania,JPN,Japan,2012,Export,6.58
H3,TZA,10620,Tanzania,MYS,Malaysia,2012,Export,2.533
H3,TZA,10620,Tanzania,NLD,Netherlands,2012,Export,12.868
H3,TZA,10620,Tanzania,USA,United States,2012,Export,0.823
H3,TZA,10620,Tanzania,WLD,World,2012,Export,29.264
H3,TZA,10631,Tanzania,WLD,World,2012,Export,2.033
H3,TZA,10639,Tanzania,ARE,United Arab Emirates,2012,Export,0.71
H3,TZA,10639,Tanzania,ARE,United Arab Emirates,2012,Import,0.306
H3,TZA,10639,Tanzania,CHN,China,2012,Export,1.015
H3,TZA,10639,Tanzania,SGP,Singapore,2012,Export,0.507
H3,TZA,10639,Tanzania,WLD,World,2012,Export,2.242
H3,TZA,10639,Tanzania,WLD,World,2012,Import,0.306
H3,TZA,10639,Tanzania,ZAF,South Africa,2012,Export,0.01
H3,TZA,10690,Tanzania,ARM,Armenia,2012,Export,11.177
H3,TZA,10690,Tanzania,CZE,Czech Republic,2012,Export,0.614
H3,TZA,10690,Tanzania,DEU,Germany,2012,Export,6.908
H3,TZA,10690,Tanzania,GBR,United Kingdom,2012,Import,2.427
H3,TZA,10690,Tanzania,HKG,"Hong Kong, China",2012,Export,0.304
H3,TZA,10690,Tanzania,MYS,Malaysia,2012,Import,0.088
H3,TZA,10690,Tanzania,NLD,Netherlands,2012,Import,0.045
H3,TZA,10690,Tanzania,SWE,Sweden,2012,Export,0.102
H3,TZA,10690,Tanzania,WLD,World,2012,Export,19.105
H3,TZA,10690,Tanzania,WLD,World,2012,Import,2.722
H3,TZA,10690,Tanzania,ZAF,South Africa,2012,Import,0.162
H3,TZA,20110,Tanzania,GBR,United Kingdom,2012,Import,0.266
H3,TZA,20110,Tanzania,WLD,World,2012,Export,314.809
H3,TZA,20110,Tanzania,WLD,World,2012,Import,0.266
H3,TZA,20110,Tanzania,ZMB,Zambia,2012,Export,314.809
H3,TZA,20120,Tanzania,ARE,United Arab Emirates,2012,Export,8.731
H3,TZA,20120,Tanzania,ARE,United Arab Emirates,2012,Import,5.872
H3,TZA,20120,Tanzania,GBR,United Kingdom,2012,Import,0.141
H3,TZA,20120,Tanzania,KEN,Kenya,2012,Import,233.187
H3,TZA,20120,Tanzania,OMN,Oman,2012,Export,3.557
H3,TZA,20120,Tanzania,WLD,World,2012,Export,12.288
H3,TZA,20120,Tanzania,WLD,World,2012,Import,239.2
H3,TZA,20130,Tanzania,ARE,United Arab Emirates,2012,Import,0.608
H3,TZA,20130,Tanzania,GBR,United Kingdom,2012,Import,0.021
H3,TZA,20130,Tanzania,KEN,Kenya,2012,Import,123.422
H3,TZA,20130,Tanzania,WLD,World,2012,Import,124.109
H3,TZA,20130,Tanzania,ZAF,South Africa,2012,Import,0.058
H3,TZA,20220,Tanzania,ARE,United Arab Emirates,2012,Export,69.763
H3,TZA,20220,Tanzania,ARE,United Arab Emirates,2012,Import,7.649
H3,TZA,20220,Tanzania,GBR,United Kingdom,2012,Import,0.078
H3,TZA,20220,Tanzania,KEN,Kenya,2012,Import,570.653
H3,TZA,20220,Tanzania,OMN,Oman,2012,Export,3.557
H3,TZA,20220,Tanzania,SGP,Singapore,2012,Export,1.016
H3,TZA,20220,Tanzania,WLD,World,2012,Export,74.661
H3,TZA,20220,Tanzania,WLD,World,2012,Import,581.243
H3,TZA,20220,Tanzania,ZAF,South Africa,2012,Import,2.863
H3,TZA,20230,Tanzania,ARE,United Arab Emirates,2012,Import,0.63
H3,TZA,20230,Tanzania,CHN,China,2012,Import,0.026
H3,TZA,20230,Tanzania,GBR,United Kingdom,2012,Import,4.878
H3,TZA,20230,Tanzania,ITA,Italy,2012,Import,0.192
H3,TZA,20230,Tanzania,KEN,Kenya,2012,Import,157.701
H3,TZA,20230,Tanzania,WLD,World,2012,Export,1.518
H3,TZA,20230,Tanzania,WLD,World,2012,Import,170.424
H3,TZA,20230,Tanzania,ZAF,South Africa,2012,Export,1.518
H3,TZA,20230,Tanzania,ZAF,South Africa,2012,Import,6.997
H3,TZA,20312,Tanzania,ARE,United Arab Emirates,2012,Import,0.608
H3,TZA,20312,Tanzania,DEU,Germany,2012,Import,0.277
H3,TZA,20312,Tanzania,KEN,Kenya,2012,Import,43.369
H3,TZA,20312,Tanzania,WLD,World,2012,Import,44.254
H3,TZA,20319,Tanzania,ARE,United Arab Emirates,2012,Export,27.992
H3,TZA,20319,Tanzania,ARE,United Arab Emirates,2012,Import,0.314
H3,TZA,20319,Tanzania,AUS,Australia,2012,Import,0.144
H3,TZA,20319,Tanzania,CHN,China,2012,Import,0.273
H3,TZA,20319,Tanzania,GBR,United Kingdom,2012,Import,0.07
H3,TZA,20319,Tanzania,ITA,Italy,2012,Import,2.65
H3,TZA,20319,Tanzania,OMN,Oman,2012,Export,0.184
H3,TZA,20319,Tanzania,WLD,World,2012,Export,28.176
H3,TZA,20319,Tanzania,WLD,World,2012,Import,7.424
H3,TZA,20319,Tanzania,ZAF,South Africa,2012,Import,3.973
H3,TZA,20322,Tanzania,ARE,United Arab Emirates,2012,Import,5.873
H3,TZA,20322,Tanzania,BEL,Belgium,2012,Import,71.053
H3,TZA,20322,Tanzania,BRA,Brazil,2012,Import,6.918
H3,TZA,20322,Tanzania,KEN,Kenya,2012,Import,10.485
H3,TZA,20322,Tanzania,WLD,World,2012,Import,102.124
H3,TZA,20322,Tanzania,ZAF,South Africa,2012,Import,7.795
H3,TZA,20329,Tanzania,ARE,United Arab Emirates,2012,Export,28.169
H3,TZA,20329,Tanzania,BEL,Belgium,2012,Import,25.912
H3,TZA,20329,Tanzania,BRA,Brazil,2012,Import,86.181
H3,TZA,20329,Tanzania,COM,Comoros,2012,Export,0.049
H3,TZA,20329,Tanzania,DEU,Germany,2012,Import,1.247
H3,TZA,20329,Tanzania,DNK,Denmark,2012,Import,63.341
H3,TZA,20329,Tanzania,GBR,United Kingdom,2012,Import,0.02
H3,TZA,20329,Tanzania,KEN,Kenya,2012,Import,1479.97
H3,TZA,20329,Tanzania,OMN,Oman,2012,Export,20.342
H3,TZA,20329,Tanzania,SAU,Saudi Arabia,2012,Import,0.44
H3,TZA,20329,Tanzania,WLD,World,2012,Export,48.56
H3,TZA,20329,Tanzania,WLD,World,2012,Import,1727.95
H3,TZA,20329,Tanzania,ZAF,South Africa,2012,Import,70.838
H3,TZA,20410,Tanzania,ARE,United Arab Emirates,2012,Import,2.033
